Symbol,cp,Initial cash,Final cash,Total return,Trades,Win rate,Sharpe ratio,Max drawdown,BTC_cp,ETH_cp,SOL_cp
1000CAT,9.0,10000.0,3247.7118393858877,-67.52288160614113,1,0.0,-1.1512091373855586,-88.58049167327519,9.0,9.0,9.0
1000CAT,9.5,10000.0,3247.7118393858877,-67.52288160614113,1,0.0,-1.1512091373855586,-88.58049167327519,9.5,9.5,9.5
1000CAT,10.0,10000.0,3247.7118393858877,-67.52288160614113,1,0.0,-1.1512091373855586,-88.58049167327519,10.0,10.0,10.0
1000CHEEMS,-10.0,10000.0,10000.0,0.0,0,0.0,,0.0,-10.0,-10.0,-10.0
1000CHEEMS,-9.5,10000.0,10000.0,0.0,0,0.0,,0.0,-9.5,-9.5,-9.5
1000CHEEMS,-9.0,10000.0,10000.0,0.0,0,0.0,,0.0,-9.0,-9.0,-9.0
1000CHEEMS,-8.5,10000.0,10000.0,0.0,0,0.0,,0.0,-8.5,-8.5,-8.5
1000CHEEMS,-8.0,10000.0,10000.0,0.0,0,0.0,,0.0,-8.0,-8.0,-8.0
1000CHEEMS,-7.5,10000.0,10000.0,0.0,0,0.0,,0.0,-7.5,-7.5,-7.5
1000CHEEMS,-7.0,10000.0,10000.0,0.0,0,0.0,,0.0,-7.0,-7.0,-7.0
1000CHEEMS,-6.5,10000.0,10000.0,0.0,0,0.0,,0.0,-6.5,-6.5,-6.5
1000CHEEMS,-6.0,10000.0,10000.0,0.0,0,0.0,,0.0,-6.0,-6.0,-6.0
1000CHEEMS,-5.5,10000.0,10000.0,0.0,0,0.0,,0.0,-5.5,-5.5,-5.5
1000CHEEMS,-5.0,10000.0,10000.0,0.0,0,0.0,,0.0,-5.0,-5.0,-5.0
1000CHEEMS,-4.5,10000.0,10000.0,0.0,0,0.0,,0.0,-4.5,-4.5,-4.5
1000CHEEMS,-4.0,10000.0,9841.463414634147,-1.5853658536585318,1,0.0,-1.9683474952375564,-1.5853658536585318,-4.0,-4.0,-4.0
1000CHEEMS,-3.5,10000.0,9653.58700305546,-3.464129969445403,3,0.0,-1.527648629109798,-4.126623927480737,-3.5,-3.5,-3.5
1000CHEEMS,-3.0,10000.0,11855.438377703374,18.554383777033745,5,40.0,2.800298637916035,-6.831566548881045,-3.0,-3.0,-3.0
1000CHEEMS,-2.5,10000.0,12661.852127650918,26.61852127650918,7,57.14285714285714,2.908685559819197,-8.566221142162805,-2.5,-2.5,-2.5
1000CHEEMS,-2.0,10000.0,11074.467739428068,10.74467739428068,12,50.0,1.1088548313871365,-16.424634632437833,-2.0,-2.0,-2.0
1000CHEEMS,-1.5,10000.0,18215.3136097109,82.15313609710901,19,42.10526315789473,3.0212375764157833,-33.722439384133466,-1.5,-1.5,-1.5
1000CHEEMS,-1.0,10000.0,25272.682262687664,152.72682262687664,30,50.0,3.2709189332042117,-33.17473417234053,-1.0,-1.0,-1.0
1000CHEEMS,-0.5,10000.0,28284.066138063044,182.84066138063045,35,45.714285714285715,3.4239979926516018,-30.43396413379249,-0.5,-0.5,-0.5
1000CHEEMS,0.0,10000.0,23501.1488005164,135.01148800516398,27,59.25925925925925,2.9083278909554093,-32.304304047424196,0.0,0.0,0.0
1000CHEEMS,0.5,10000.0,23619.832430877916,136.19832430877915,13,61.53846153846154,2.8954783956247474,-39.681249940403774,0.5,0.5,0.5
1000CHEEMS,1.0,10000.0,23680.212501293798,136.80212501293798,10,60.0,2.8941723540987194,-39.681249940403774,1.0,1.0,1.0
