Symbol,Entry_cp,Exit_cp,Initial cash,Final cash,Total return,Trades,Win rate,Sharpe ratio,Max drawdown
1000CAT,-2.5,0.0,10000.0,6287.1043556796085,-37.12895644320391,5,60.0,-1.7703016790059367,-50.13661202185793
1000CAT,-2.5,1.0,10000.0,6287.1043556796085,-37.12895644320391,5,60.0,-1.7703016790059367,-50.13661202185793
1000CAT,-2.5,2.0,10000.0,6287.1043556796085,-37.12895644320391,5,60.0,-1.7703016790059367,-50.13661202185793
1000CAT,-2.5,3.0,10000.0,6287.1043556796085,-37.12895644320391,5,60.0,-1.7703016790059367,-50.13661202185793
1000CAT,-2.5,4.0,10000.0,6287.1043556796085,-37.12895644320391,5,60.0,-1.7703016790059367,-50.13661202185793
1000CAT,-2.5,5.0,10000.0,6287.1043556796085,-37.12895644320391,5,60.0,-1.7703016790059367,-50.13661202185793
1000CAT,-1.5,-2.0,10000.0,6313.0647352467295,-36.86935264753271,9,66.66666666666666,-1.6398680863021373,-50.13661202185793
1000CAT,-1.5,-1.0,10000.0,6313.0647352467295,-36.86935264753271,9,66.66666666666666,-1.6398680863021373,-50.13661202185793
1000CAT,-1.5,0.0,10000.0,6313.0647352467295,-36.86935264753271,9,66.66666666666666,-1.6398680863021373,-50.13661202185793
1000CAT,-1.5,1.0,10000.0,6313.0647352467295,-36.86935264753271,9,66.66666666666666,-1.6398680863021373,-50.13661202185793
1000CAT,-1.5,2.0,10000.0,6313.0647352467295,-36.86935264753271,9,66.66666666666666,-1.6398680863021373,-50.13661202185793
1000CAT,-1.5,3.0,10000.0,6313.0647352467295,-36.86935264753271,9,66.66666666666666,-1.6398680863021373,-50.13661202185793
1000CAT,-1.5,4.0,10000.0,6313.0647352467295,-36.86935264753271,9,66.66666666666666,-1.6398680863021373,-50.13661202185793
1000CAT,-1.5,5.0,10000.0,6313.0647352467295,-36.86935264753271,9,66.66666666666666,-1.6398680863021373,-50.13661202185793
1000CAT,-0.5,-2.0,10000.0,6313.0647352467295,-36.86935264753271,9,66.66666666666666,-1.6398680863021373,-50.13661202185793
1000CAT,-0.5,-1.0,10000.0,6129.9376665907175,-38.700623334092825,10,60.0,-1.6748961994699687,-50.13661202185793
1000CAT,-0.5,0.0,10000.0,6129.9376665907175,-38.700623334092825,10,60.0,-1.6748961994699687,-50.13661202185793
1000CAT,-0.5,1.0,10000.0,6129.9376665907175,-38.700623334092825,10,60.0,-1.6748961994699687,-50.13661202185793
1000CAT,-0.5,2.0,10000.0,6129.9376665907175,-38.700623334092825,10,60.0,-1.6748961994699687,-50.13661202185793
1000CAT,-0.5,3.0,10000.0,6129.9376665907175,-38.700623334092825,10,60.0,-1.6748961994699687,-50.13661202185793
1000CAT,-0.5,4.0,10000.0,6129.9376665907175,-38.700623334092825,10,60.0,-1.6748961994699687,-50.13661202185793
1000CAT,-0.5,5.0,10000.0,6129.9376665907175,-38.700623334092825,10,60.0,-1.6748961994699687,-50.13661202185793
1000CAT,0.5,-2.0,10000.0,6313.0647352467295,-36.86935264753271,9,66.66666666666666,-1.6398680863021373,-50.13661202185793
1000CAT,0.5,-1.0,10000.0,6129.9376665907175,-38.700623334092825,10,60.0,-1.6748961994699687,-50.13661202185793
1000CAT,0.5,0.0,10000.0,6129.9376665907175,-38.700623334092825,10,60.0,-1.6748961994699687,-50.13661202185793
1000CAT,0.5,1.0,10000.0,6129.9376665907175,-38.700623334092825,10,60.0,-1.6748961994699687,-50.13661202185793
1000CAT,0.5,2.0,10000.0,6129.9376665907175,-38.700623334092825,10,60.0,-1.6748961994699687,-50.13661202185793
1000CAT,0.5,3.0,10000.0,6129.9376665907175,-38.700623334092825,10,60.0,-1.6748961994699687,-50.13661202185793
1000CAT,0.5,4.0,10000.0,6129.9376665907175,-38.700623334092825,10,60.0,-1.6748961994699687,-50.13661202185793
1000CAT,0.5,5.0,10000.0,6129.9376665907175,-38.700623334092825,10,60.0,-1.6748961994699687,-50.13661202185793
1000CAT,1.5,-2.0,10000.0,6313.0647352467295,-36.86935264753271,9,66.66666666666666,-1.6398680863021373,-50.13661202185793
